Event_date,Tmax_parsed,Jmax_parsed,Flare_power,T_delta_flare,T_delta_SPE,Cycle
1997-11-04,1997-11-05 02:20:00,66.0,0.00021,1.1333333333333333,19.333333333333332,23
1997-11-06,1997-11-07 02:00:00,430.0,0.0009400000000000001,1.1833333333333333,13.0,23
1998-04-20,1998-04-21 06:00:00,860.0,1.4e-05,1.3666666666666667,19.0,23
1998-05-02,1998-05-02 16:00:00,130.0,0.00011000000000000002,0.48333333333333334,2.0,23
1998-05-06,1998-05-06 09:00:00,120.0,0.00027000000000000006,0.03333333333333333,1.0,23
1998-08-24,1998-08-25 02:00:00,96.0,0.0001,1.1666666666666667,3.0,23
1998-09-23,1998-09-25 01:00:00,22.0,7.1e-05,6.333333333333333,36.0,23
1998-09-30,1998-09-30 23:00:00,785.0,2.8e-05,0.8666666666666667,9.0,23
1998-11-14,1998-11-14 12:00:00,250.0,1.3e-06,1.0,6.0,23
1999-06-01,1999-06-02 09:00:00,23.0,1.2e-06,0.9333333333333333,13.0,23
1999-06-04,1999-06-04 12:00:00,20.0,3.9e-05,0.95,4.0,23
2000-04-04,2000-04-05 02:00:00,25.0,9.699999999999999e-06,1.8,9.0,23
2000-06-07,2000-06-08 10:00:00,54.0,0.00012,8.433333333333334,34.0,23
2000-06-10,2000-06-10 20:00:00,24.0,5.2000000000000004e-05,0.3333333333333333,3.0,23
2000-07-14,2000-07-14 18:00:00,7200.0,0.0005700000000000001,0.95,7.0,23
2000-07-22,2000-07-22 14:00:00,13.0,3.7000000000000005e-05,0.7166666666666667,2.0,23
2000-09-12,2000-09-13 02:00:00,180.0,1e-05,2.4833333333333334,12.0,23
2000-11-24,2000-11-24 21:00:00,65.0,0.0002,2.0833333333333335,14.0,23
2000-11-26,2000-11-26 20:00:00,670.0,8.2e-05,26.016666666666666,17.0,23
2001-01-28,2001-01-29 01:00:00,29.0,1.5000000000000002e-05,2.3333333333333335,7.0,23
2001-04-02,2001-04-03 07:00:00,112.0,0.002,1.4666666666666666,8.0,23
2001-04-10,2001-04-11 01:00:00,50.0,0.00022999999999999998,2.9,17.0,23
2001-04-15,2001-04-15 16:00:00,270.0,0.00144,0.6833333333333333,2.0,23
2001-04-18,2001-04-18 10:00:00,190.0,2.2e-06,0.8166666666666667,7.0,23
2001-04-27,2001-04-28 05:00:00,15.0,7.8e-05,15.566666666666666,26.0,23
2001-09-24,2001-09-24 18:00:00,390.0,0.00026000000000000003,1.4666666666666666,7.0,23
2001-10-01,2001-10-01 23:00:00,370.0,9.1e-05,9.316666666666666,9.0,23
2001-11-04,2001-11-04 20:00:00,540.0,8.4e-06,9.366666666666667,4.0,23
2001-11-17,2001-11-19 22:00:00,13.0,2.8e-05,5.183333333333334,60.0,23
2001-12-26,2001-12-26 11:00:00,336.0,7.1e-05,0.3333333333333333,5.0,23
2001-12-29,2001-12-29 08:00:00,40.0,0.00034,8.25,3.0,23
2001-12-30,2001-12-31 02:00:00,25.5,1.8e-05,22.55,6.0,23
2002-01-10,2002-01-11 01:00:00,70.0,9.5e-05,7.983333333333333,23.0,23
2002-03-18,2002-03-18 15:00:00,14.5,4e-05,4.6,15.0,23
2002-04-17,2002-04-17 16:00:00,21.0,2.6000000000000002e-05,2.2333333333333334,6.0,23
2002-04-21,2002-04-21 03:00:00,915.0,0.00015000000000000001,0.2833333333333333,2.0,23
2002-05-22,2002-05-23 10:00:00,260.0,4.9999999999999996e-06,3.7,27.0,23
2002-07-07,2002-07-07 20:00:00,26.0,1e-05,1.75,7.0,23
2002-07-16,2002-07-16 22:00:00,27.0,0.00030000000000000003,16.016666666666666,10.0,23
2002-07-22,2002-07-22 11:00:00,18.5,0.00033,27.933333333333334,10.0,23
2002-08-22,2002-08-22 05:00:00,16.0,5.4000000000000005e-05,1.2166666666666666,2.0,23
2002-08-24,2002-08-24 03:00:00,92.0,0.00031,0.18333333333333332,2.0,23
2002-11-09,2002-11-10 02:00:00,150.0,4.6e-05,3.8666666666666667,9.0,23
2003-05-31,2003-05-31 06:00:00,15.6,9.300000000000001e-05,0.7833333333333333,3.0,23
2003-06-18,2003-06-20 06:00:00,10.2,6.8e-05,9.083333333333334,46.0,23
2003-10-26,2003-10-26 20:00:00,230.0,0.00012,0.65,2.0,23
2003-11-02,2003-11-02 23:00:00,990.0,0.0008300000000000001,0.95,5.0,23
2003-11-04,2003-11-05 07:00:00,126.0,0.00174,2.5166666666666666,9.0,23
2003-11-21,2003-11-22 02:00:00,10.7,5.8e-05,8.3,18.0,23
2003-12-02,2003-12-02 18:00:00,21.0,7.2e-06,2.3333333333333335,6.0,23
2004-04-11,2004-04-11 12:00:00,13.0,9.6e-06,2.1,6.0,23
2004-07-25,2004-07-25 21:00:00,27.0,1.1000000000000001e-05,1.6833333333333333,4.0,23
2004-09-13,2004-09-13 23:00:00,210.0,4.8e-05,42.06666666666667,4.0,23
2004-09-19,2004-09-20 01:00:00,46.0,1.9e-05,1.2333333333333334,7.0,23
2004-11-01,2004-11-01 08:00:00,54.0,1.1000000000000001e-05,2.933333333333333,2.0,23
2004-11-10,2004-11-10 10:00:00,264.0,8.900000000000001e-05,9.016666666666667,8.0,23
2005-01-16,2005-01-16 18:00:00,330.0,0.00026000000000000003,1.5833333333333333,18.0,23
2005-01-20,2005-01-21 17:00:00,134.0,0.00071,0.4,34.0,23
2005-06-16,2005-06-17 04:00:00,41.0,4e-05,0.9833333333333333,7.0,23
2005-07-14,2005-07-15 03:00:00,130.0,0.00012,3.7333333333333334,13.0,23
2005-07-17,2005-07-17 18:00:00,12.0,1.1e-07,3.5833333333333335,4.0,23
2005-08-22,2005-08-23 02:00:00,280.0,5.6e-05,2.2333333333333334,7.0,23
2005-09-07,2005-09-08 20:00:00,70.0,0.0017000000000000001,3.716666666666667,23.0,23
2005-09-14,2005-09-14 15:00:00,160.0,0.00015000000000000001,4.683333333333334,15.0,23
2006-12-13,2006-12-13 09:00:00,660.0,0.00034,0.7666666666666667,6.0,23
2006-12-14,2006-12-15 00:00:00,160.0,0.00015000000000000001,1.8833333333333333,1.0,23
2011-03-07,2011-03-08 05:00:00,45.0,3.7000000000000005e-05,2.283333333333333,7.0,24
2012-01-23,2012-01-24 17:00:00,2700.0,8.7e-05,0.36666666666666664,37.0,24
2012-01-27,2012-01-28 02:00:00,740.0,0.00017,0.38333333333333336,8.0,24
2012-03-07,2012-03-08 13:00:00,1440.0,0.0005400000000000001,2.0,35.0,24
2012-05-17,2012-05-18 02:00:00,180.0,5.1e-05,0.5833333333333334,24.0,24
2012-06-14,2012-06-16 21:00:00,11.0,1.9e-05,5.133333333333334,51.0,24
2012-07-06,2012-07-07 08:00:00,23.0,0.00011000000000000002,0.5,9.0,24
2012-07-08,2012-07-09 05:00:00,17.0,6.900000000000001e-05,0.6166666666666667,12.0,24
2012-07-17,2012-07-18 00:00:00,93.0,1.7e-05,2.95,9.0,24
2012-07-19,2012-07-20 03:00:00,75.0,7.7e-05,1.7166666666666666,21.0,24
2014-01-07,2014-01-08 12:00:00,1000.0,0.00012,0.26666666666666666,18.0,24
2014-09-10,2014-09-11 07:00:00,25.0,0.00016,4.016666666666667,10.0,24
2015-06-21,2015-06-22 10:00:00,230.0,2e-05,14.966666666666667,18.0,24
2015-06-25,2015-06-26 10:00:00,13.5,7.900000000000001e-05,0.9666666666666667,25.0,24
2017-09-04,2017-09-05 07:00:00,99.0,1e-05,7.25,10.0,24
2017-09-06,2017-09-07 04:00:00,39.0,0.00022000000000000003,2.1333333333333333,17.0,24
2017-09-07,2017-09-08 00:00:00,575.0,0.00013000000000000002,5.666666666666667,4.0,24
2021-05-28,2021-05-29 03:20:00,15.56,9.499999999999999e-06,1.35,3.6666666666666665,25
2021-10-28,2021-10-28 19:50:00,22.42,0.0001,0.7166666666666667,3.8333333333333335,25
2022-01-20,2022-01-20 10:15:00,22.7,5.5e-05,0.9833333333333333,3.5833333333333335,25
2022-03-28,2022-03-28 13:30:00,18.1,4e-05,0.8666666666666667,1.6666666666666667,25
2022-03-30,2022-03-31 06:40:00,10.6,0.00013000000000000002,1.3166666666666667,12.0,25
2022-04-02,2022-04-02 16:05:00,32.2,3.9e-05,0.7333333333333333,2.4166666666666665,25
2022-08-27,2022-08-27 12:20:00,27.5,4.9000000000000005e-05,4.133333333333334,6.333333333333333,25
2023-02-25,2023-02-25 22:05:00,36.26,6.400000000000001e-05,1.8333333333333333,1.5833333333333333,25
2023-05-08,2023-05-09 01:30:00,38.4,1.5000000000000002e-05,4.0,23.833333333333332,25    
2023-05-09,2023-05-10 02:45:00,40.0,4.2000000000000004e-05,3.3333333333333335,5.083333333333333,25
2023-07-16,2023-07-16 07:35:00,18.0,1.8999999999999998e-06,0.85,1.9166666666666667,25
2023-07-18,2023-07-18 06:30:00,614.0,2.7000000000000002e-05,1.7333333333333334,6.083333333333333,25
2023-07-28,2023-07-29 09:15:00,153.0,4.1e-05,1.5166666666666666,16.083333333333332,25
2023-08-05,2023-08-05 13:55:00,17.4,1.6000000000000003e-05,2.066666666666667,5.583333333333333,25
2023-08-05,2023-08-06 02:00:00,17.7,0.00016,1.25,3.0,25
2023-08-07,2023-08-08 05:45:00,27.2,0.00015000000000000001,0.75,8.5,25
2023-09-01,2023-09-01 06:10:00,25.85,1e-05,1.5833333333333333,2.25,25
2024-01-01,2024-01-04 04:10:00,18.4,2.4e-05,14.116666666666667,53.5,25
2024-01-29,2024-01-29 06:50:00,16.3,6.8e-05,0.9333333333333333,2.0,25
2024-02-09,2024-02-09 18:25:00,113.0,0.00034,1.1166666666666667,4.416666666666667,25
2024-02-12,2024-02-12 21:20:00,96.0,6.500000000000001e-05,3.95,14.0,25
2024-03-15,2024-03-15 06:35:00,16.7,4.9000000000000005e-06,3.7666666666666666,0.8333333333333334,25
2024-03-23,2024-03-23 18:20:00,956.0,0.00011000000000000002,3.033333333333333,14.333333333333334,25
2024-05-11,2024-05-11 09:10:00,116.0,0.00058,0.6666666666666666,7.333333333333333,25
2024-05-13,2024-05-14 05:20:00,121.0,6.6e-05,2.533333333333333,18.0,25
2024-06-08,2024-06-08 08:00:00,1029.0,9.800000000000001e-05,0.6166666666666667,6.0,25
2024-09-09,2024-09-09 22:50:00,34.0,1.1000000000000001e-05,5.2,16.833333333333332,25
2024-10-09,2024-10-09 12:55:00,1040.0,0.00018,1.3333333333333333,10.166666666666666,25
2024-10-25,2024-10-28 13:50:00,364.0,0.00033,29.5,76.83333333333333,25
2025-01-04,2025-01-04 23:30:00,18.3,7.599999999999999e-06,2.05,3.0,25
2025-02-24,2025-02-25 02:40:00,37.1,1.5000000000000002e-05,2.15,3.6666666666666665,25
